finding_id,application_id,application_name,environment,cve,component_ref,cvss,epss,internet_exposed,runtime_reachable,business_criticality,concert_like_risk_score,suggested_priority,status,scanner
FND-000001,APP-0001,Paiements SEPA,production,CVE-2025-32463,pkg:golang/google.golang.org/grpc@2.9.10?instance=46,7.6,0.1548,False,True,Medium,7.3,P2,Open,SyntheticScanner
FND-000002,APP-0001,Paiements SEPA,production,CVE-2026-21401,pkg:golang/go.uber.org/zap@8.8.12?instance=35,8.4,0.1338,False,True,Medium,8.0,P1,Open,SyntheticScanner
FND-000003,APP-0001,Paiements SEPA,production,CVE-2023-44487,pkg:golang/go.uber.org/zap@7.1.0?instance=28,7.2,0.2011,False,True,Medium,7.1,P2,Open,SyntheticScanner
FND-000004,APP-0001,Paiements SEPA,production,CVE-2023-38545,pkg:golang/google.golang.org/grpc@2.9.10?instance=46,6.9,0.1005,False,True,Medium,6.4,P2,Open,SyntheticScanner
FND-000005,APP-0001,Paiements SEPA,production,CVE-2025-24813,pkg:golang/go.uber.org/zap@7.10.1?instance=41,8.3,0.0602,False,False,Medium,5.1,P2,Accepted - dead/unreachable code,SyntheticScanner
FND-000006,APP-0001,Paiements SEPA,production,CVE-2025-24813,pkg:golang/github.com/gorilla/mux@8.19.1?instance=50,8.0,0.1282,False,False,Medium,5.1,P2,Accepted - dead/unreachable code,SyntheticScanner
FND-000007,APP-0001,Paiements SEPA,production,CVE-2025-24813,pkg:golang/golang.org/x/crypto@5.7.0?instance=45,5.6,0.1666,False,True,Medium,5.4,P2,Open,SyntheticScanner
FND-000008,APP-0001,Paiements SEPA,production,CVE-2022-22965,pkg:golang/github.com/gin-gonic/gin@5.3.11?instance=3,8.9,0.2262,False,False,Medium,6.0,P2,Accepted - dead/unreachable code,SyntheticScanner
FND-000009,APP-0001,Paiements SEPA,production,CVE-2025-24813,pkg:golang/github.com/spf13/viper@9.4.1?instance=37,9.1,0.4524,False,True,Medium,10,P1,Open,SyntheticScanner
FND-000010,APP-0001,Paiements SEPA,production,CVE-2023-38545,pkg:golang/github.com/spf13/viper@4.15.4?instance=14,7.6,0.1216,False,True,Medium,7.2,P2,Open,SyntheticScanner
FND-000011,APP-0001,Paiements SEPA,production,CVE-2023-44487,pkg:golang/go.uber.org/zap@6.0.5?instance=42,6.9,0.1642,False,True,Medium,6.7,P2,Open,SyntheticScanner
FND-000012,APP-0001,Paiements SEPA,production,CVE-2025-32463,pkg:golang/golang.org/x/crypto@6.3.2?instance=25,6.3,0.2117,False,False,Medium,4.2,P3,Accepted - dead/unreachable code,SyntheticScanner
FND-000013,APP-0001,Paiements SEPA,production,CVE-2023-44487,pkg:golang/google.golang.org/grpc@4.17.4?instance=21,5.3,0.4043,False,True,Medium,5.9,P2,Open,SyntheticScanner
