file,application_id,base_application_name,concert_application_name,environment,application_version,spec_version,logical_components,nested_artifacts,services,sha256
sbom/APP-0001_Paiements-SEPA_preproduction_concertdef-2.0.0.json,APP-0001,Paiements-SEPA,Paiements-SEPA-preproduction,preproduction,2.1.1-preproduction,2.0.0,2,14,2,0b9c515270e45bf4e0058232f90210d40c601210064caee9a9270b41a6a24950
sbom/APP-0001_Paiements-SEPA_production_concertdef-2.0.0.json,APP-0001,Paiements-SEPA,Paiements-SEPA-production,production,2.1.1-production,2.0.0,2,14,2,2d8d468c3da1f9df30f48886b1db7514549447e42d06aeb70dbbf6109dee6b13
sbom/APP-0002_Portail-Client_preproduction_concertdef-2.0.0.json,APP-0002,Portail-Client,Portail-Client-preproduction,preproduction,2.2.2-preproduction,2.0.0,2,14,2,980374a9a859a660ed6a887b770eb4fe6e807a142ee12edd763d1f2e1b24d1aa
sbom/APP-0002_Portail-Client_production_concertdef-2.0.0.json,APP-0002,Portail-Client,Portail-Client-production,production,2.2.2-production,2.0.0,2,14,2,ad9d023d6df3ea06f6fdbd1d4b552f2457c293e879d873245628a29fedb8ee6d
sbom/APP-0003_API-Sinistres_preproduction_concertdef-2.0.0.json,APP-0003,API-Sinistres,API-Sinistres-preproduction,preproduction,2.3.3-preproduction,2.0.0,2,14,2,63045681bc83c4783b4a62f88d028f01c9124b2334174bc8ca612faeeda3bd0d
sbom/APP-0003_API-Sinistres_production_concertdef-2.0.0.json,APP-0003,API-Sinistres,API-Sinistres-production,production,2.3.3-production,2.0.0,2,14,2,95a06329060cc4d9eb814d3b162c375b2a902da069fbb5b024fa37e572f10402
sbom/APP-0004_Mobile-Banking_preproduction_concertdef-2.0.0.json,APP-0004,Mobile-Banking,Mobile-Banking-preproduction,preproduction,2.4.4-preproduction,2.0.0,2,14,2,f66a6f59099319c38d5dc91f0deb8991c89b4914edf3c0fc4c948729e9c081be
sbom/APP-0004_Mobile-Banking_production_concertdef-2.0.0.json,APP-0004,Mobile-Banking,Mobile-Banking-production,production,2.4.4-production,2.0.0,2,14,2,ffa2d05eb6dcd4a54db6b9955d59de0984d6ac0240520cfd162feb197710767e
sbom/APP-0005_Gestion-Contrats_preproduction_concertdef-2.0.0.json,APP-0005,Gestion-Contrats,Gestion-Contrats-preproduction,preproduction,2.5.5-preproduction,2.0.0,2,14,2,7e6c55d026b8dbfcf6cf3c8652317477c5eaa56a20780d0a96ac7afcf985a566
sbom/APP-0005_Gestion-Contrats_production_concertdef-2.0.0.json,APP-0005,Gestion-Contrats,Gestion-Contrats-production,production,2.5.5-production,2.0.0,2,14,2,5f0c1b878234bfc44c56ba474e8e0f47a88cfa069830fb02a2c80612c4101718
