file,application_id,application_name,application_version,spec_version,logical_components,nested_artifacts,services,sha256
sbom/APP-0001_Paiements-SEPA_concertdef-2.0.0.json,APP-0001,Paiements-SEPA,2.1.1,2.0.0,2,14,2,f0ff34293d814f02ce820b67fc4e03f4fad49c890d360cd8f577a7fdd2de0a5b
sbom/APP-0002_Portail-Client_concertdef-2.0.0.json,APP-0002,Portail-Client,2.2.2,2.0.0,2,14,2,73298cc2079a68a61a691674f3a60ecf4fc7550e3a7b19955a9f25b35cab14a7
sbom/APP-0003_API-Sinistres_concertdef-2.0.0.json,APP-0003,API-Sinistres,2.3.3,2.0.0,2,14,2,78484b7505010e732fcdaa2b15cfd85fe467db78a97a1fb2754a7ca754241550
sbom/APP-0004_Mobile-Banking_concertdef-2.0.0.json,APP-0004,Mobile-Banking,2.4.4,2.0.0,2,14,2,eb7321885a2181537c95dd3a392a9f4c3d7c1890d5306389e94d48fbb1f10e66
sbom/APP-0005_Gestion-Contrats_concertdef-2.0.0.json,APP-0005,Gestion-Contrats,2.5.5,2.0.0,2,14,2,cc1f8beb9af0a4a3a6fa074e20d6ee80d375d40993ac1699ead8619a2be21062
sbom/APP-0006_CRM-Conseillers_concertdef-2.0.0.json,APP-0006,CRM-Conseillers,2.0.6,2.0.0,2,14,2,65e1c2761deba7c2c3daf7064ce14e55ee360c5018ea545239045e6a1ad3d638
sbom/APP-0007_Facturation_concertdef-2.0.0.json,APP-0007,Facturation,2.1.7,2.0.0,2,14,2,522c4f07d57e7908a8fa59914d72df5d136c5887c5051cd150db170081101d5e
sbom/APP-0008_Data-Hub_concertdef-2.0.0.json,APP-0008,Data-Hub,2.2.8,2.0.0,2,14,2,0713c236b7f1ac28a78566572d24e5bd1bda88d4c71596bc84f39d1f86b7d1f7
sbom/APP-0009_IAM-Gateway_concertdef-2.0.0.json,APP-0009,IAM-Gateway,2.3.9,2.0.0,2,14,2,5963c3cd342c819b0a00ddeeb7fce2730c0c7ec03a51cb6a75cbfdd8da6eb42e
sbom/APP-0010_GED_concertdef-2.0.0.json,APP-0010,GED,2.4.0,2.0.0,2,14,2,2df827f094b0529aee6bf57d4a7852670ee25af94d00fb45301028107af7385c
sbom/APP-0011_Notification-Service_concertdef-2.0.0.json,APP-0011,Notification-Service,2.5.1,2.0.0,2,14,2,c5d845a87b8b6869ba7de40969aff203c87e3da66014e86950e17895592cc9d7
sbom/APP-0012_Tarification_concertdef-2.0.0.json,APP-0012,Tarification,2.0.2,2.0.0,2,14,2,7bebb493143a07487671886acdd2db8e5a93572f9df6b534554378f783603927
sbom/APP-0013_Fraude-Temps-Reel_concertdef-2.0.0.json,APP-0013,Fraude-Temps-Reel,2.1.3,2.0.0,2,14,2,9f1d7a77626e19eb8373fdcc5637b0eccf3cc1f50a5badc60a1c19e21b75dacf
sbom/APP-0014_Referentiel-Client_concertdef-2.0.0.json,APP-0014,Referentiel-Client,2.2.4,2.0.0,2,14,2,11bbb09b9b240b8c2d506780ba137aca878d79fa83fae9e75e0121e1e3799403
sbom/APP-0015_Comptabilite_concertdef-2.0.0.json,APP-0015,Comptabilite,2.3.5,2.0.0,2,14,2,f7bfe60bcd2434a88eeff6eba6380502d678c0ec6ffca0ec7c2798a3f854fc30
